Start_Date,Assign_ID,Weight_Result
2018-06-08 5:05,6B29037,155.425 
2018-06-08 5:26,6B29038,153.661 
2018-06-08 5:47,6B29039,153.594 
2018-06-08 6:07,6B29040,152.658 
2018-06-08 6:28,6B29041,152.687 
2018-06-08 6:49,6B29042,152.947 
2018-06-08 7:10,6B29043,153.663 
2018-06-08 7:30,6B29044,152.530 
2018-06-08 7:51,6B29045,153.458 
2018-06-08 8:11,6B29046,156.323 
2018-06-08 8:32,6B29047,153.764 
2018-06-08 8:53,6B29048,153.230 
2018-06-08 9:13,6B29049,151.564 
2018-06-08 9:34,6B29050,151.646 
2018-06-09 13:18,6C01701,156.167 
2018-06-09 13:38,6C01702,157.897 
2018-06-09 13:58,6C01703,152.873 
2018-06-09 14:19,6C01704,153.884 
2018-06-09 14:40,6C01705,154.663 
2018-06-09 15:00,6C01706,155.474 
2018-06-09 15:20,6C01707,155.659 
2018-06-09 15:41,6C01708,156.364 
2018-06-09 16:01,6C01709,155.461 
2018-06-09 16:21,6C01710,154.895 
2018-06-09 16:42,6C01711,155.180 
2018-06-09 17:02,6C01712,156.353 
2018-06-09 17:23,6C01713,155.162 
2018-06-09 17:43,6C01714,155.067 
2018-06-09 18:04,6C01715,155.464 
2018-06-09 18:24,6C01716,155.113 
2018-06-09 18:47,6C01717,154.180 
2018-06-09 19:07,6C01718,154.398 
2018-06-09 19:27,6C01719,155.175 
2018-06-09 19:47,6C01720,161.403 
2018-06-09 20:08,6C01721,155.211 
2018-06-09 20:28,6C01722,154.990 
2018-06-09 20:49,6C01723,155.411 
2018-06-09 21:10,6C01724,154.940 
2018-06-09 21:30,6C01725,154.540 
2018-06-09 21:51,6C01726,155.840 
2018-06-09 22:11,6C01727,156.479 
2018-06-09 22:32,6C01728,156.668 
2018-06-09 22:53,6C01729,156.398 
2018-06-09 23:13,6C01730,162.383 
2018-06-09 23:33,6C01731,156.006 
2018-06-09 23:55,6C01732,164.574 
2018-06-10 0:15,6C01733,160.588 
2018-06-10 0:37,6C01734,162.942 
2018-06-10 0:57,6C01735,129.657 
2018-06-10 1:20,6C01736,173.950 
2018-06-10 1:40,6C01737,158.991 
2018-06-10 2:01,6C01738,157.163 
2018-06-10 2:21,6C01739,140.246 
2018-06-10 2:42,6C01740,173.715 
2018-06-10 3:03,6C01741,174.719 
2018-06-10 3:23,6C01742,162.545 
2018-06-10 3:43,6C01743,158.731 
2018-06-10 4:03,6C01744,182.337 
2018-06-10 4:24,6C01745,165.331 
2018-06-10 4:45,6C01746,136.527 
2018-06-10 5:06,6C01747,161.191 
2018-06-10 5:26,6C01748,159.426 
2018-06-10 5:47,6C01749,177.659 
2018-06-10 6:07,6C01750,156.358 
2018-06-10 6:28,7S18401,162.542 
2018-06-10 6:49,7S18402,160.369 
2018-06-10 7:11,7S18403,161.784 
2018-06-10 7:31,7S18404,159.733 
2018-06-10 7:54,7S18405,160.415 
2018-06-11 9:43,7S18406,160.141 
2018-06-11 10:03,7S18407,160.000 
2018-06-11 10:24,7S18408,159.387 
2018-06-11 10:44,7S18409,159.250 
2018-06-11 11:04,7S18410,159.229 
2018-06-11 11:25,7S18411,159.488 
2018-06-11 11:45,7S18412,158.168 
2018-06-11 12:06,7S18413,160.324 
2018-06-11 12:27,7S18414,160.599 
2018-06-11 12:47,7S18415,161.109 
2018-06-11 13:07,7S18416,158.279 
2018-06-11 13:27,7S18417,157.982 
2018-06-11 13:48,7S18418,158.111 
2018-06-11 14:09,7S18419,158.239 
2018-06-11 14:29,7S18420,157.377 
2018-06-11 17:44,7S18421,158.335 
2018-06-11 18:04,7S18422,158.172 
2018-06-11 18:24,7S18423,158.291 
2018-06-11 18:45,7S18425,157.154 
2018-06-11 19:05,7S18426,159.380 
2018-06-11 19:25,7S18427,163.156 
2018-06-11 19:46,7S18428,163.757 
2018-06-11 20:07,7S18429,162.204 
2018-06-11 20:27,7S18430,160.228 
2018-06-11 20:48,7S18431,160.708 
2018-06-11 21:08,7S18432,161.781 
2018-06-11 21:29,7S18433,163.422 
2018-06-11 21:50,7S18434,163.585 
2018-06-11 22:11,7S18435,161.993 
2018-06-11 22:31,7S18436,160.802 
2018-06-11 22:52,7S18437,159.932 
2018-06-11 23:12,7S18438,158.942 
2018-06-11 23:33,7S18439,159.084 
2018-06-11 23:53,7S18440,161.786 
2018-06-12 0:16,7S18441,161.917 
2018-06-12 0:36,7S18442,163.180 
2018-06-12 0:57,7S18443,163.554 
2018-06-12 1:18,7S18444,166.160 
2018-06-12 1:40,7S18445,164.522 
2018-06-12 2:00,7S18446,158.682 
2018-06-12 2:21,7S18447,159.723 
2018-06-12 2:42,7S18448,158.229 
2018-06-12 3:03,7S18449,160.514 
2018-06-12 3:24,7S18450,159.507 
2018-06-12 3:45,P7163051,138.337 
2018-06-12 4:05,P7163052,138.312 
2018-06-12 4:26,P7163053,138.551 
2018-06-12 4:46,P7163054,138.129 
2018-06-12 5:07,P7163055,139.342 
2018-06-12 5:27,P7163056,136.779 
2018-06-12 5:49,P7163057,139.044 
2018-06-12 6:09,P7163058,140.573 
2018-06-12 6:30,P7163059,138.055 
2018-06-12 6:53,P7163060,136.437 
2018-06-13 18:29,P7163061,139.259 
2018-06-13 18:49,P7163062,142.139 
2018-06-13 19:09,P7163063,138.059 
2018-06-13 19:30,P7163064,139.603 
2018-06-13 19:50,P7163065,140.608 
2018-06-13 20:10,P7163066,139.717 
2018-06-13 20:31,P7163067,140.779 
2018-06-13 20:52,P7163068,141.133 
2018-06-13 21:12,P7163069,138.235 
2018-06-13 21:33,P7163070,139.004 
2018-06-13 21:54,P7163071,140.124 
2018-06-13 22:15,P7163072,137.762 
2018-06-13 22:35,P7163073,140.333 
2018-06-13 22:56,P7163074,138.660 
2018-06-13 23:17,P7163075,137.162 
2018-06-13 23:40,P7163076,137.593 
2018-06-14 0:00,P7163077,137.742 
2018-06-14 0:21,P7163078,137.307 
2018-06-14 0:42,P7163079,137.946 
2018-06-14 1:02,P7163080,138.773 
2018-06-14 1:22,P7163081,137.573 
2018-06-14 1:43,P7163082,142.190 
2018-06-14 2:04,P7163083,141.477 
2018-06-14 2:24,P7163084,142.574 
2018-06-14 2:45,P7163085,140.251 
2018-06-14 3:06,P7163086,141.220 
2018-06-14 3:28,P7163087,136.573 
2018-06-14 3:48,P7163088,136.842 
2018-06-14 4:08,P7163089,136.423 
2018-06-14 4:29,P7163090,137.484 
2018-06-14 4:50,P7163091,141.261 
2018-06-14 5:10,P7163092,139.087 
2018-06-14 5:30,P7163093,139.565 
2018-06-14 5:50,P7163094,138.199 
2018-06-14 6:13,P7163095,139.418 
2018-06-14 6:33,P7163096,142.146 
2018-06-14 6:54,P7163097,136.751 
2018-06-14 7:15,P7163098,135.742 
2018-06-14 7:35,P7163099,138.085 
2018-06-14 7:56,P7163100,139.879 
2018-06-14 8:17,P7165751,137.178 
2018-06-14 8:38,P7165752,136.284 
2018-06-14 9:00,P7165753,134.795 
2018-06-14 9:20,P7165754,136.135 
2018-06-14 9:41,P7165755,136.985 
2018-06-14 10:02,P7165756,135.787 
2018-06-14 10:23,P7165757,139.019 
2018-06-14 10:43,P7165758,136.323 
2018-06-14 11:03,P7165759,137.950 
2018-06-14 11:24,P7165760,135.820 
2018-06-14 11:45,P7165761,133.936 
2018-06-14 12:07,P7165762,134.780 
2018-06-14 12:28,P7165763,137.690 
2018-06-14 12:50,P7165764,135.978 
2018-06-14 13:11,P7165765,137.594 
2018-06-14 13:31,P7165766,139.125 
2018-06-14 13:52,P7165767,138.866 
2018-06-14 14:13,P7165768,137.749 
2018-06-14 14:34,P7165769,134.597 
2018-06-14 14:54,P7165770,136.415 
2018-06-15 3:43,P7165771,135.831 
2018-06-15 4:04,P7165772,136.556 
2018-06-15 4:25,P7165773,135.695 
2018-06-15 4:46,P7165774,136.982 
2018-06-15 5:06,P7165775,136.988 
2018-06-15 5:28,P7165776,136.157 
2018-06-15 5:49,P7165777,134.793 
2018-06-15 6:10,P7165778,136.940 
