Start_Date,Assign_ID,Weight_Result,,Start_Date,Assign_ID,Weight_Result
2018-09-03 18:01,P7163896,140.339,,2018-09-14 22:55,P7186947,138.141
2018-09-03 18:22,P7163897,139.422,,2018-09-14 23:16,P7155604,135.459
2018-09-03 18:43,P7163898,140.678,,2018-09-14 23:37,P7155611,136.603
2018-09-03 19:04,P7163899,141.571,,2018-09-14 23:58,P7155618,138.893
2018-09-03 19:26,P7163900,136.943,,2018-09-15 0:20,P7155625,138.664
2018-09-03 19:47,P7187401,136.55,,2018-09-15 0:41,P7155632,138.443
2018-09-03 20:08,P7187402,134.875,,2018-09-15 1:02,P7155639,138.399
2018-09-03 20:31,P7187403,134.75,,2018-09-15 1:23,P7155646,137.61
2018-09-03 20:53,P7187404,135.968,,2018-09-15 1:44,P7187214,136.182
2018-09-03 21:14,P7187405,136.461,,2018-09-15 2:05,P7187215,136.272
2018-09-03 21:35,P7187406,136.278,,2018-09-15 2:27,P7187216,137.265
2018-09-03 21:57,P7187407,134.836,,2018-09-15 2:47,P7187217,135.255
2018-09-03 22:18,P7187408,136.662,,2018-09-15 3:08,P7187218,137.603
2018-09-03 22:39,P7187409,136.136,,2018-09-15 3:30,P7187219,137.552
2018-09-03 23:00,P7187410,136.894,,2018-09-15 3:52,P7187220,136.589
2018-09-03 23:21,P7187411,135.524,,2018-09-15 4:12,P7187221,137.442
2018-09-03 23:42,P7187412,135.588,,2018-09-15 4:35,P7187222,137.142
2018-09-04 0:03,P7187413,136.781,,2018-09-15 4:57,P7187223,136.472
2018-09-04 0:24,P7187414,136.768,,2018-09-15 5:19,P7187224,137.319
2018-09-04 0:46,P7187415,137.101,,2018-09-15 5:40,P7187225,136.503
2018-09-04 1:07,P7187416,137.046,,2018-09-15 6:01,P7163130,138.568
2018-09-04 1:28,P7187417,134.801,,2018-09-15 6:23,P7163131,137.8
2018-09-04 1:48,P7187418,136.764,,2018-09-15 6:44,P7163132,136.941
2018-09-04 2:10,P7187419,135.978,,2018-09-15 7:05,P7163133,137.955
2018-09-04 2:31,P7187420,136.791,,2018-09-15 7:27,P7163867,142.319
2018-09-04 2:54,P7187421,134.889,,2018-09-15 7:48,P7163868,146.131
2018-09-04 3:15,P7187422,137.514,,2018-09-15 8:09,P7163869,146.319
2018-09-04 3:36,P7187423,135.223,,2018-09-15 8:31,P7163870,145.94
2018-09-04 3:57,P7187424,135.636,,2018-09-15 8:52,P7163871,140.852
2018-09-04 4:18,P7187425,134.496,,2018-09-15 9:13,P7166055,136.811
2018-09-04 4:39,P7187426,137.182,,2018-09-15 9:35,P7166056,136.593
2018-09-04 5:00,P7187427,134.789,,2018-09-15 9:55,P7186920,139.092
2018-09-04 5:22,P7187428,135.518,,2018-09-15 10:16,P7186927,137.335
2018-09-04 5:42,P7187429,134.056,,2018-09-15 10:38,P7186934,137.754
2018-09-04 6:04,P7187430,135.878,,2018-09-15 11:01,P7186941,137.896
2018-09-04 6:25,P7187431,136.436,,2018-09-15 11:23,P7186948,138.586
2018-09-04 6:47,P7187432,135.918,,2018-09-15 11:44,P7155605,137.492
2018-09-04 7:08,P7187433,133.935,,2018-09-15 12:05,P7155612,138.896
2018-09-04 7:29,P7187434,136.679,,2018-09-15 12:26,P7155619,138.913
2018-09-04 7:51,P7187435,136.843,,2018-09-15 12:48,P7155626,136.274
2018-09-04 8:12,P7187436,134.753,,2018-09-15 13:09,P7155633,136.423
2018-09-04 8:34,P7187437,137.384,,2018-09-15 13:30,P7155640,139.235
2018-09-04 8:56,P7187438,137.44,,2018-09-15 13:52,P7155647,136.225
2018-09-04 9:19,P7187439,136.461,,2018-09-15 14:12,P7166082,136.312
2018-09-04 9:41,P7187440,135.054,,2018-09-18 1:14,P7166057,136.309
2018-09-04 10:03,P7187441,136.457,,2018-09-18 1:35,P7166058,136.938
2018-09-04 10:25,P7187442,135.272,,2018-09-18 1:56,P7186921,139.326
2018-09-04 10:46,P7187443,136.736,,2018-09-18 2:17,P7186928,138.122
2018-09-04 11:07,P7187444,135.608,,2018-09-18 2:37,P7186935,139.127
2018-09-04 11:28,P7187445,134.85,,2018-09-18 2:59,P7186942,137.87
2018-09-04 11:49,P7187446,137.717,,2018-09-18 3:21,P7186949,138.153
