"Time.N","Assign_ID","Wgt.N"
"2018-05-15 7:29","7K09873",158.298
"2018-05-15 7:49","7K09874",158.4547
"2018-05-15 8:13","7K09875",156.5678
"2018-05-15 8:35","7K09876",157.255
"2018-05-15 8:55","7K09877",157.1627
"2018-05-15 9:16","7K09878",156.326
"2018-05-15 9:38","7K09879",156.9357
"2018-05-15 9:59","7K09880",157.3503
"2018-05-15 10:21","7K09881",157.288
"2018-05-15 10:42","7K09882",156.8023
"2018-05-15 11:02","7K09883",155.8482
"2018-05-15 11:23","7K09884",156.8142
"2018-05-15 11:44","7K09885",157.3838
"2018-05-15 12:05","7K09886",157.5255
"2018-05-15 12:26","7K09887",157.6932
"2018-05-15 12:47","7K09888",156.6448
"2018-05-15 13:08","7K09889",156.2405
"2018-05-15 13:29","7K09890",157.3535
"2018-05-15 14:38","7K09301",158.5995
"2018-05-15 14:58","7K09302",158.7235
"2018-05-15 15:19","7K09303",157.5772
"2018-05-15 15:40","7K09304",157.805
"2018-05-15 16:01","7K09305",158.1377
"2018-05-15 16:22","7K09306",158.1793
"2018-05-15 16:42","7K09307",157.0892
"2018-05-15 17:03","7K09308",157.7555
"2018-05-15 17:24","7K09309",156.8523
"2018-05-15 17:46","7K09310",158.6422
"2018-05-15 18:07","7K09311",157.3245
"2018-05-16 17:57","7K09891",156.0892
"2018-05-16 18:17","7K09892",156.2795
"2018-05-16 18:37","7K09893",156.5467
"2018-05-16 18:57","7K09894",158.543
"2018-05-16 19:18","7K09895",157.27
"2018-05-16 19:39","7K09896",157.9252
"2018-05-16 19:59","7K09897",158.1002
"2018-05-16 20:21","7K09898",157.3688
"2018-05-16 20:42","7K09899",157.4528
"2018-05-16 21:03","7K09900",157.7172
"2018-05-16 21:24","7K09312",157.7272
"2018-05-16 21:44","7K09313",158.8935
"2018-05-16 22:06","7K09314",158.1613
"2018-05-16 22:27","7K09315",158.186
"2018-05-16 22:48","7K09316",158.0353
"2018-05-16 23:08","7K09317",158.4062
"2018-05-16 23:29","7K09318",157.848
"2018-05-16 23:49","7K09319",158.5287
"2018-05-17 0:12","7K09320",157.8195
"2018-05-17 0:32","7K09321",157.5162
"2018-05-17 0:53","7K09322",157.9482
"2018-05-17 1:14","7K09323",157.071
"2018-05-17 1:34","7K09324",158.7142
"2018-05-17 1:55","7K09325",157.3593
"2018-05-17 2:15","7K09326",159.1677
"2018-05-17 2:36","7K09327",157.9907
"2018-05-17 2:57","7K09328",158.2288
"2018-05-17 3:17","7K09329",157.9713
"2018-05-17 3:37","7K09330",157.4368
"2018-05-17 3:59","7K09331",157.9013
