"Time.S","Assign_ID","Wgt.S"
"2018-05-11 13:20","7S16395",159.164
"2018-05-11 13:42","7S16396",158.078
"2018-05-11 14:03","7S16397",159.196
"2018-05-11 14:24","7S16398",157.079
"2018-05-11 14:47","7S16399",155.248
"2018-05-11 15:08","7S16400",155.542
"2018-05-14 9:22","5S28393",160.096
"2018-05-14 9:43","5S28394",159.524
"2018-05-14 10:04","5S28395",160.556
"2018-05-14 10:25","5S28396",162.095
"2018-05-14 10:47","5S28397",160.556
"2018-05-14 11:09","6C01151",160.803
"2018-05-14 11:30","6C01152",159.435
"2018-05-14 11:52","6C01153",154.648
"2018-05-14 12:12","6C01154",154.14
"2018-05-14 12:34","6C01155",154.599
"2018-05-14 12:57","6C01156",161.499
"2018-05-15 18:28","7S16855",158.76
"2018-05-15 18:49","7S16856",158.809
"2018-05-15 19:09","7S16857",158.372
"2018-05-15 19:30","7S16858",158.052
"2018-05-15 19:50","7S16859",158.718
"2018-05-15 20:10","7S16860",159.258
"2018-05-15 20:31","7S16861",157.878
"2018-05-15 20:54","7S16862",158.042
"2018-05-15 21:15","7S16863",157.796
"2018-05-15 21:36","7S16866",158.166
"2018-05-15 21:57","7S16867",160.151
"2018-05-15 22:18","6B29893",154.545
"2018-05-15 22:39","6B29895",155.359
"2018-05-15 23:00","7S16524",157.542
"2018-05-15 23:21","7S16525",158.536
"2018-05-15 23:41","7S16526",157.873
"2018-05-16 0:02","7S16527",158.209
"2018-05-16 0:23","7S16528",157.995
"2018-05-16 0:43","7S16529",157.99
"2018-05-16 1:04","7S16530",158.872
"2018-05-16 1:24","7S16531",157.419
"2018-05-16 1:45","7S16532",156.766
"2018-05-16 2:07","7S16533",157.446
"2018-05-16 2:27","7S16534",158.971
"2018-05-16 2:48","7S16535",158.079
"2018-05-16 3:09","7S16536",159.359
"2018-05-16 3:32","7S16537",158.284
"2018-05-16 3:54","7S16538",158.18
"2018-05-16 4:14","7S16539",160.54
"2018-05-16 4:36","7S16540",158.877
"2018-05-16 4:56","7S16541",157.814
"2018-05-16 5:17","7S16542",159.059
"2018-05-16 5:39","7S16543",159.474
"2018-05-16 5:59","7S16544",157.832
"2018-05-16 6:20","7S16545",157.136
"2018-05-16 6:41","7S16546",157.962
"2018-05-16 7:02","7S16547",158.978
"2018-05-16 7:23","7S18301",158.905
"2018-05-16 7:44","7S18302",158.92
"2018-05-16 8:04","7S18303",161.435
"2018-05-16 8:25","7S18304",158.844
"2018-05-16 8:47","7S18305",159.172
"2018-05-16 9:07","7S18306",158.799
"2018-05-16 9:28","7S18307",159.486
"2018-05-16 9:48","7S18308",157.081
"2018-05-16 10:11","7S18309",158.149
"2018-05-16 10:32","7S18310",159.102
"2018-05-16 10:53","7S18311",158.576
"2018-05-16 11:14","7S18312",157.663
"2018-05-16 11:35","7S18313",158.504
"2018-05-16 11:55","7S18314",156.371
"2018-05-16 12:15","7S18315",157.487
"2018-05-16 12:37","7S18316",159.329
"2018-05-16 12:57","7S18317",160.045
"2018-05-16 13:18","7S18318",160.046
"2018-05-16 13:39","7S18319",156.726
"2018-05-16 14:00","7S18320",159.161
"2018-05-16 14:20","7S18321",159.102
"2018-05-16 14:41","7S18322",158.793
"2018-05-16 15:02","7S16868",159.039
"2018-05-16 15:22","6B29896",155.795
"2018-05-18 11:26","7S16548",156.991
"2018-05-18 11:47","7S16549",158.597
"2018-05-18 12:08","7S16550",159.315
"2018-05-18 12:30","7S16951",160.096
"2018-05-18 12:51","7S16952",158.167
"2018-05-18 13:12","7S16953",159.325
"2018-05-18 13:33","7S16954",159.177
"2018-05-18 13:54","7S16955",158.862
"2018-05-18 14:16","7S16956",157.877
"2018-05-18 14:37","7S16957",159.064
"2018-05-18 14:58","7S16958",158.642
"2018-05-18 15:20","7S16959",159.087
"2018-05-18 15:42","7S16960",158.288
"2018-05-18 16:02","7S16961",159.825
"2018-05-18 16:24","7S16962",157.97
"2018-05-18 16:44","7S16963",159.331
"2018-05-18 17:06","7S16964",157.926
"2018-05-18 17:26","7S16965",160.156
"2018-05-18 17:47","7S16966",160.355
"2018-05-18 18:08","7S16967",160.148
"2018-05-18 18:28","7S16968",159.224
"2018-05-18 18:50","7S16969",159.086
"2018-05-18 19:11","7S16970",159.085
"2018-05-18 19:32","7S16971",159.645
"2018-05-18 19:53","7S16141",156.803
